,title,description,originallink,link,pubDate
0,이렇게 바르면 분위기가 확 달라져요! 스타들의 블러셔 가이드,"Instagram @newjeans_official Instagram @newjeans_official <b>뉴진스</b> 혜인과 다니엘의 울먹 메이크업, 눈물 요정 메이크업의 정석이죠. 눈두덩부터 눈 밑 볼까지 색감이 이어지도록 블러셔를 발랐어요. 방금 울고 난 것처럼... ",https://www.vogue.co.kr/2022/08/18/%ec%9d%b4%eb%a0%87%ea%b2%8c-%eb%b0%94%eb%a5%b4%eb%a9%b4-%eb%b6%84%ec%9c%84%ea%b8%b0%ea%b0%80-%ed%99%95-%eb%8b%ac%eb%9d%bc%ec%a0%b8%ec%9a%94-%ec%8a%a4%ed%83%80%eb%93%a4%ec%9d%98-%eb%b8%94%eb%9f%ac/?utm_source=naver&utm_medium=partnership,https://www.vogue.co.kr/2022/08/18/%ec%9d%b4%eb%a0%87%ea%b2%8c-%eb%b0%94%eb%a5%b4%eb%a9%b4-%eb%b6%84%ec%9c%84%ea%b8%b0%ea%b0%80-%ed%99%95-%eb%8b%ac%eb%9d%bc%ec%a0%b8%ec%9a%94-%ec%8a%a4%ed%83%80%eb%93%a4%ec%9d%98-%eb%b8%94%eb%9f%ac/?utm_source=naver&utm_medium=partnership,"Thu, 18 Aug 2022 10:04:00 +0900"
1,"뉴진스, 韓 스포티파이 또 신기록 ""일간 톱 정상""","<b>뉴진스</b>가 한국 스포티파이 차트에서 또 하나의 &apos;걸그룹 최초&apos; 타이틀을 거머쥐었다. <b>뉴진스</b>(민지, 하니, 다니엘, 해린, 혜인)는 16일 한국 스포티파이 &apos;일간 톱 아티스트&apos; 정상에 올랐는데, 이 차트... ",http://sports.hankooki.com/news/articleView.html?idxno=6804908,http://sports.hankooki.com/news/articleView.html?idxno=6804908,"Thu, 18 Aug 2022 10:02:00 +0900"
2,"뉴진스, 韓 스포티파이 신기록…걸그룹 최초 '일간 톱 아티스트' 1위",&apos;<b>뉴진스</b>&apos;가 한국 스포티파이 차트에서 ‘걸그룹 최초’ 타이틀을 거머쥐었다. <b>뉴진스</b>는 지난 8일 데뷔 앨범 &apos;<b>뉴 진스</b>&apos;를 발매했다. 이 앨범으로 지난 16일 한국 스포티파이 &apos;일간 톱 아티스트&apos; 정상에 올랐다. 이 차트... ,http://www.dispatch.co.kr/2213750,https://n.news.naver.com/mnews/article/433/0000084793?sid=106,"Thu, 18 Aug 2022 10:00:00 +0900"
3,걸그룹 강세 맞설 ‘쟁쟁’ 男솔로 온다[스경X초점],"‘레전드’로 불리는 소녀시대부터 데뷔 한 달도 안 돼 기록 행진 중인 <b>뉴진스</b>까지, 세대를 넘나드는 걸그룹들의 활약이 올 여름 가요계를 더욱 뜨겁게 달궜다. 이런 열기를 탄탄한 팬층과 역량으로 사랑받는 남성 솔로... ",http://sports.khan.co.kr/news/sk_index.html?art_id=202208180955013&sec_id=540301&pt=nv,https://n.news.naver.com/mnews/article/144/0000831639?sid=106,"Thu, 18 Aug 2022 09:57:00 +0900"
4,"뉴진스·가야G, 33주 써클차트 3관왕…임영웅 2주째 다운 1위","<b>뉴진스</b>와 WSG워너비(가야G), 임영웅이 8월 둘째 주 가요계 인기를 대표하는 가수로 확인됐다. 18일... 공개된 바에 따르면 33주차 써클차트에서는 <b>뉴진스</b>와 WSG워너비(가야G)가 각각 3관왕을 차지한 가운데, 임영웅의... ",http://www.etnews.com/20220818000042,https://n.news.naver.com/mnews/article/030/0003037637?sid=106,"Thu, 18 Aug 2022 09:55:00 +0900"
5,"뉴진스, 걸그룹 최초 韓스포티파이 일간 톱 아티스트 1위","신인 그룹 <b>뉴진스</b>(NewJeans/민지, 하니, 다니엘, 해린, 혜인)가 한국 스포티파이 차트에서 또 하나의 걸그룹 최초 기록을 세웠다. <b>뉴진스</b>는 16일 한국 스포티파이 ‘일간 톱 아티스트’ 정상에 올랐다.... ",https://sports.donga.com/article/all/20220818/115008535/1,https://n.news.naver.com/mnews/article/382/0000998709?sid=106,"Thu, 18 Aug 2022 09:36:00 +0900"
6,"뉴진스, 또 신기록 세웠다",그룹 <b>뉴진스</b>(NewJeans)가 한국 스포티파이 차트에서 또 하나의 신기록을 세웠다. <b>뉴진스</b>는 16일 한국 스포티파이 &apos;일간 톱 아티스트&apos; 정상에 올랐다. 역대 해당 차트 1위에 이름을 올린 K팝 걸그룹은 <b>뉴진스</b>가... ,https://hankookilbo.com/News/Read/A2022080721550004572?did=NA,https://n.news.naver.com/mnews/article/469/0000692180?sid=106,"Thu, 18 Aug 2022 09:33:00 +0900"
7,"뉴진스, 걸그룹 최초 스포티파이 '일간 톱 아티스트' 1위","<b>뉴진스</b>(NewJeans)가 한국 스포티파이 차트에서 또 하나의 ‘걸그룹 최초’ 타이틀을 거머쥐었다. <b>뉴진스</b>(민지, 하니, 다니엘, 해린, 혜인)는 16일 한국 스포티파이 ‘일간 톱 아티스트’ 정상에 올랐는데... ",http://www.stoo.com/article.php?aid=82051584842,http://www.stoo.com/article.php?aid=82051584842,"Thu, 18 Aug 2022 09:20:00 +0900"
8,"뉴진스vs블랙핑크, 하반기 주주들을 웃게 할 걸그룹은 누구?","걸그룹 <b>뉴진스</b>의 데뷔로 7월 한달 간 하이브의 주가는 약 21%가 올랐다. <b>뉴진스</b>는 과거 SM엔터테인먼트에서 소녀시대, 샤이니, 에프엑스 등 유명 아이돌의 콘셉트와 비주얼을 담당하며 연예계에서 마이더스의 손으로... ",http://www.pinpointnews.co.kr/news/articleView.html?idxno=136493,http://www.pinpointnews.co.kr/news/articleView.html?idxno=136493,"Thu, 18 Aug 2022 09:18:00 +0900"
9,"더보이즈, 써클차트 8월 17일 리테일 앨범차트 1위, 있지·방탄소년단·더보이...","이어 6위 온앤오프의 &apos;SPECIAL ALBUM [Storage of ONF]&apos;(2,196장), 7위 <b>뉴진스</b>의 &apos;1st EP `New Jeans`&apos;(1,304장), 8위 온앤오프의 &apos;SPECIAL ALBUM [Storage of ONF] (KiT)&apos;(1,094장), 9위 BAE173의 &apos;ODYSSEY:DaSH (META)... ",http://www.topstarnews.net/news/articleView.html?idxno=14722352,http://www.topstarnews.net/news/articleView.html?idxno=14722352,"Thu, 18 Aug 2022 09:16:00 +0900"
10,"뉴진스, 걸그룹 최초 한국 스포티파이 ‘일간 톱 아티스트’ 1위",그룹 <b>뉴진스</b>(NewJeans)가 한국 스포티파이 차트에서 또 하나의 ‘걸그룹 최초’ 타이틀을 거머쥐었다. <b>뉴진스</b>는 16일 한국 스포티파이 ‘일간 톱 아티스트’ 정상에 올랐다. 이 차트 1위에 등극한 케이팝... ,https://www.dailian.co.kr/news/view/1143711/?sc=Naver,https://n.news.naver.com/mnews/article/119/0002631181?sid=106,"Thu, 18 Aug 2022 09:15:00 +0900"
